ID,Name,Critic_Score,Critic_Count,User_Score,User_Count
2812,LEGO Marvel's Avengers,71,70,7,87
2813,Katamari Damacy,86,55,9,86
2814,Just Dance 2015,75,6,6.6,26
2815,Beyblade VForce: Ultimate Blader Jam,,,,
2816,LEGO Dimensions,80,53,7.1,65
2817,Naruto Shippuden: Ultimate Ninja Storm Generations,74,23,7.1,83
2818,Shaun Palmer's Pro Snowboarder,64,17,8.7,13
2819,James Bond 007: Agent Under Fire,74,16,6.8,25
2820,Harvest Moon DS: Island of Happiness,65,15,7,22
2821,Star Wars Episode III: Revenge of the Sith,73,13,7.5,12
2822,Ultimate Spider-Man,74,52,7.9,54
2823,Monopoly Streets,65,9,5.2,5
2824,Imagine: Interior Designer,,,,
2825,Ratchet & Clank Collection,,,,
2826,SD Gundam G Generation,,,,
2827,Rabbids Go Home,70,7,,
2828,God Eater,,,,
2829,Area 51,,,,
2830,Total War: Rome II,76,71,4.2,3742
2831,NBA Live 08,68,10,6.6,9
2832,Star Ocean: The Last Hope International,74,45,6.7,155
2833,Dead to Rights,73,39,8.9,16
2834,Indiana Jones and the Staff of Kings,55,32,7,28
2835,Tiger Woods PGA Tour 07,79,33,6,8
2836,My Little Pony: Pinkie Pie's Party,,,0,4
2837,Test Drive 6,,,,
2838,Major League Baseball 2K7,79,31,7.1,34
2839,Kouchuu Ouja Mushi King,,,,
2840,Persona Q: Shadow of the Labyrinth,83,56,8.1,169
2841,MLB 14: The Show,83,17,7.7,205
2842,X-Men: Mutant Academy 2,72,12,8.4,18
2843,Kirby: Canvas Curse,86,48,8.2,87
2844,Jampack Winter 2001,,,,
2845,Kangaroo,,,,
2846,Madden NFL 10,77,23,7.2,24
2847,MLB 09: The Show,90,27,8.1,61
2848,Borderlands: The Pre-Sequel,74,16,6.4,161
2849,Disney Infinity 3.0,,,,
2850,Madden NFL 11,75,6,5.4,7
2851,Super Monkey Ball Jr.,82,20,8.6,11
2852,The Witcher 3: Wild Hunt,93,32,9.3,10665
2853,F1 2011,84,61,7.1,54
2854,Mobile Suit Gundam: Encounters in Space,66,10,8.5,37
2855,MLB 10: The Show,91,33,8.3,107
2856,MX vs. ATV Reflex,75,47,6.6,30
2857,Blur,81,58,8.2,86
2858,Avatar: The Game,,,,
2859,Fear Effect,,,,
2860,Battlefield: Bad Company 2,87,46,8.3,1467
2861,DiRT 3,87,81,7.1,166
2862,The Lord of the Rings: The Two Towers,79,17,8.1,18
2863,Madden NFL 2003,92,16,8.3,16
2864,Skate,86,59,8.4,137
2865,iCarly,,,8.3,6
2866,XCOM: Enemy Unknown,89,57,8.2,2235
2867,Ben 10: Protector of Earth,60,4,7.2,23
2868,Virtua Fighter 4: Evolution,93,30,9,48
2869,Crysis,91,56,8,1970
2870,Resident Evil: Survivor,39,10,7,47
2871,The Sims 2: Castaway,66,8,4,5
2872,Super Trucks Racing,66,8,,
2873,Godzilla: Destroy All Monsters Melee,73,30,7.8,23
2874,Jeremy McGrath Supercross 2000,43,11,,
2875,Conker: Live And Reloaded,,,,
2876,Silent Hill 3,85,41,8.8,315
2877,Yu-Gi-Oh! The Falsebound Kingdom,,,,
2878,Spyro: Enter the Dragonfly,48,13,5.1,24
2879,Scooby-Doo 2: Monsters Unleashed,46,5,,
2880,Power Rangers: Dino Thunder,49,6,6.2,5
2881,Madden NFL 08,75,10,6.8,8
2882,Blast Corps,,,,
2883,LEGO Racers,,,,
2884,WWF Attitude,,,,
2885,Tactics Ogre: Let Us Cling Together,,,,
2886,Madden NFL 09,68,8,6.5,4
2887,"WarioWare, Inc.: Mega Party Game$",,,,
2888,NBA Live 09,77,32,7.4,14
2889,Battle Arena Toshinden 2,,,,
2890,Dragon Ball: Xenoverse 2,73,54,7.8,117
2891,Dynasty Warriors 6,59,31,7.3,49
2892,Jeopardy!,,,,
2893,South Park,,,,
2894,NCAA Football 09,83,24,7.7,26
2895,Doom 3: Resurrection of Evil,77,41,7.9,16
2896,SSX,82,65,6.4,186
2897,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,65,43,5.9,21
2898,Two Worlds,50,44,5.5,182
2899,Tony Hawk's Underground,89,19,8.5,24
2900,Spider-Man 2,67,43,6.9,8
2901,Super Bomberman 3,,,,
2902,NCAA Football 08,81,30,7.8,44
2903,Command & Conquer: Red Alert Retaliation,,,,
2904,Skylanders: Trap Team,86,4,7.1,18
2905,Star Wars: Obi-Wan,58,28,5.9,14
2906,Ace Attorney Investigations: Miles Edgeworth,78,51,8.4,79
2907,Kill.Switch,73,33,8.3,19
2908,Catherine,79,61,8.1,372
2909,Madden NFL 2005,90,26,,
2910,F-14 Tomcat,67,8,,
2911,SplashDown,84,22,8.2,11
2912,NCAA Football 98,,,,
2913,Jade Empire,89,84,8.6,113
2914,Infinite Undiscovery,68,60,7,158
2915,FIFA Soccer 11,63,5,,
2916,Chocobo's Dungeon 2,,,,
2917,Call of Duty: Ghosts,,,,
2918,Lego Star Wars: The Force Awakens,78,61,7.5,91
2919,NHL 12,86,56,7,72
2920,Advance Wars,92,28,9,95
2921,NASCAR 2001,66,16,6.6,9
2922,NCAA Football 2001,,,,
2923,WWE SmackDown vs. Raw 2011,,,6.7,7
2924,Mafia,65,30,7.6,62
2925,Hannah Montana: The Movie,,,,
2926,Ape Escape: On the Loose,66,35,6.4,16
2927,Mobile Suit Gundam: Journey to Jaburo,58,16,8.1,49
2928,MLB 08: The Show,85,33,8.7,76
2929,TimeSplitters 2,90,33,8.8,127
2930,Omerta: City of Gangsters,43,18,3.3,25
2931,Driver: San Francisco,80,63,7.6,130
2932,Classic NES Series: Zelda II: The Adventure of Link,73,8,7.5,39
2933,Fire Emblem: Monsh? no Nazo,,,,
2934,Disney's Chicken Little,71,6,,
2935,James Bond 007: Blood Stone,65,49,7.4,45
2936,King Kong,,,,
2937,Minecraft: Story Mode,,,,
2938,Moto Racer 2,,,,
2939,Metal Gear Solid: Portable Ops Plus,65,19,7.5,27
2940,LEGO Rock Band,70,15,6.8,6
2941,Monster Hunter Tri,,,,
2942,Halo 2 Multiplayer Map Pack,89,37,7.4,34
2943,Mortal Kombat: Shaolin Monks,77,41,8.6,74
2944,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",,,,
2945,Minecraft: Story Mode,,,,
2946,FIFA Soccer 13,,,1.6,21
2947,The LEGO Movie Videogame,,,5.4,13
2948,MotionSports,40,30,4.4,9
2949,MX vs. ATV Unleashed: On the Edge,68,22,8.1,7
2950,Mario Pinball Land,62,35,4.9,11
2951,Mappy,,,,
2952,J-League Soccer: Prime Goal,,,,
2953,Dragon Ball Z: Budokai,65,16,6.3,15
2954,NFL Xtreme,,,,
2955,Need for Speed (2015),,,,
2956,Plants vs. Zombies: Garden Warfare,76,65,7.4,438
2957,Need for Speed Rivals,75,18,5.8,175
2958,The Sims 2: Apartment Pets,50,12,3.3,4
2959,Harry Potter and the Chamber of Secrets,77,14,8.3,27
2960,Prince of Persia: The Forgotten Sands,75,49,7.6,120
2961,X-Men Origins: Wolverine - Uncaged Edition,,,,
2962,The Lord of the Rings: The Return of the King,84,23,8.5,21
2963,The Sims: Medieval,77,56,6.1,173
2964,LEGO Batman 2: DC Super Heroes,,,8,4
2965,Top Spin 4,82,37,7.7,55
2966,Shrek the Third,,,,
2967,Baldur's Gate: Dark Alliance II,78,44,8.7,54
2968,Shark Tale,63,8,9,4
2969,IL-2 Sturmovik: Birds of Prey,81,28,7.3,20
2970,Test Drive Unlimited 2,68,61,6.4,87
2971,Star Wars: Masters of Teras Kasi,,,,
2972,World of Zoo,,,,
2973,NBA Street Vol. 2,89,22,8.8,24
2974,Minecraft,,,,
2975,MX vs. ATV Untamed,70,43,7.1,17
2976,The Last Remnant,66,49,6.9,122
2977,NCAA Football 2005,89,29,8,12
2978,Mortal Kombat Mythologies: Sub-Zero,,,,
2979,The Sly Collection,85,46,8.8,172
2980,Naruto: Clash of Ninja,72,21,8.1,20
2981,Sniper Elite 3,67,41,7.1,178
2982,Prince of Persia: The Two Thrones,85,46,8.5,111
2983,Hot Shots Golf: Open Tee 2,82,42,8.6,12
2984,Mercenaries: Playground of Destruction,,,,
2985,Bushido Blade 2,,,,
2986,Suikoden II,82,8,8.4,162
2987,Iron Man,42,27,6.2,45
2988,FIFA Soccer 06,80,39,7.5,22
2989,Fight Night 2004,85,47,8.7,20
2990,Tourist Trophy: The Real Riding Simulator,,,,
2991,.hack//Mutation Part 2,76,24,8.9,81
2992,Wolfenstein: The New Order,79,18,7.8,397
2993,Cars: Mater-National Championship,69,7,6.8,5
2994,LEGO Harry Potter: Years 1-4,71,4,,
2995,Midway Arcade Treasures 2,74,28,,
2996,Kirby's Dream Collection: Special Edition,82,6,8.8,37
2997,Return to Castle Wolfenstein: Tides of War,84,38,8.8,33
2998,RIFT,84,59,7.3,561
2999,Spider-Man 3,60,33,7,40
3000,Street Sk8er,,,,
3001,Mass Effect,89,45,8.6,2386
3002,Contra: Legacy of War,,,,
3003,Fight Night Round 2004,,,,
3004,Book of Spells,,,,
3005,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,,,,
3006,Spice World,,,,
3007,The Evil Within,79,24,7.3,430
3008,Armored Core 3,74,23,9,33
3009,Star Wars: Republic Commando,78,54,8.9,89
3010,Taiko no Tatsujin Wii,,,,
3011,London 2012: The Official Video Game of the Olympic Games,,,,
3012,The LEGO Movie Videogame,71,31,7.1,98
3013,Turok,67,38,6,39
3014,Wild ARMs 2,,,,
3015,Terraria,81,39,7.2,139
3016,Red Steel,63,54,6.8,121
3017,Summer Sports: Paradise Island (Others sales),,,,
3018,Need for Speed: Shift 2 Unleashed,,,,
3019,The Fairly Odd Parents: Breakin Da Rules,,,,
3020,Virtua Tennis: World Tour (US & Others sales),,,,
3021,Unreal Tournament III,86,42,7.7,127
3022,Adventures of Tron,,,,
3023,Fossil Fighters: Champions,68,8,7.1,11
3024,The Sims 3,73,9,6.4,20
3025,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",66,7,6.8,5
3026,Disney Tangled,,,,
3027,Command & Conquer: Red Alert 3,,,,
3028,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,,,,
3029,Pro Pinball: Big Race USA,69,4,,
3030,NFL Street,81,38,8.8,9
3031,Final Fantasy Crystal Chronicles: Ring of Fates,77,41,7.2,25
3032,Bakugan: Battle Brawlers,62,12,7.2,11
3033,Blazing Angels: Squadrons of WWII,67,26,6.9,9
3034,WWE SmackDown vs. RAW 2007,78,13,8.1,21
3035,Skylanders: Trap Team,,,7,5
3036,F1 2015,65,46,6.3,43
3037,Tony Hawk's Proving Ground,65,6,6.6,17
3038,The Darkness,80,35,7.7,107
3039,Country Dance,,,,
3040,MLB 2004,61,21,7.9,9
3041,Naruto Shippuden: Ultimate Ninja 4,,,,
3042,The Sims 3: High-End Loft Stuff,,,6.5,17
3043,Tiger Woods PGA Tour 2000,,,,
3044,Darkstone,58,10,8.3,12
3045,NCAA March Madness 2003,74,13,8,27
3046,Diablo III,,,,
3047,Finding Nemo,63,11,,
3048,Thrillville,69,32,2.9,52
3049,Lalaloopsy,,,,
3050,Jikkyou World Soccer 2000 Final Edition,,,,
3051,Madagascar,70,21,,
3052,Castlevania: Lords of Shadow,83,70,7.8,237
3053,Hidden Objects: Mystery Stories,,,,
3054,NHL 10,88,52,8.4,71
3055,100 Classic Books,70,7,6,12
3056,Puzzler Brain Games,,,,
3057,TV Show King Party,,,,
3058,Dragon Quest Monsters: Caravan Heart,,,,
3059,Strawberry Shortcake: Summertime Adventure,,,,
3060,Street Fighter Anniversary Collection,78,30,8.7,20
3061,Legend of Legaia,,,,
3062,NHL 13,83,44,6.6,86
3063,Napoleon: Total War,81,56,7.9,515
3064,Metro: Last Light,,,,
3065,Madden NFL 10,,,7.8,5
3066,Rayman Legends,92,35,8.7,465
3067,The Sims: Bustin' Out,81,30,9,15
3068,BioShock Infinite,94,68,8.5,7322
3069,Keystone Kapers,,,,
3070,Ratatouille,64,7,7.1,7
3071,Lollipop Chainsaw,67,37,7.1,199
3072,Tom Clancy's EndWar,76,33,6.6,42
3073,Shrek: Hassle at the Castle,71,7,7.4,5
3074,Suikoden IV,63,44,7.3,47
3075,Gods Eater Burst,71,30,7.9,35
3076,Fist of the North Star: Ken's Rage,60,30,6.9,29
3077,Plants vs. Zombies: Garden Warfare,,,7.8,24
3078,Disney's Kim Possible 2: Drakken's Demise,77,8,,
3079,One Piece: Pirate Warriors 2,71,35,7.8,61
3080,Um Jammer Lammy,,,,
3081,Brothers In Arms: Road to Hill 30,88,64,8,69
3082,LEGO Harry Potter: Years 5-7,69,4,,
3083,Taiko no Tatsujin DS: Touch de Dokodon!,,,,
3084,Animaniacs Ten Pin Alley,,,,
3085,LEGO Jurassic World,70,17,6.7,44
3086,Kung Fu Panda,73,6,8.6,5
3087,Freedom Wars,73,39,8.3,265
3088,Rocksmith 2014,,,,
3089,Club Penguin: Elite Penguin Force - Herbert's Revenge,,,,
3090,Ratchet & Clank: Into the Nexus,,,,
3091,Shaun White Snowboarding,63,30,6.3,26
3092,Radiata Stories,74,36,9,54
3093,The Biggest Loser: Challenge,,,,
3094,Peppa Pig: Fun and Games,,,,
3095,F-Zero GX,89,50,8.5,161
3096,Disney's Chicken Little,60,20,8.9,7
3097,Scene It? Box Office Smash,76,32,7.4,25
3098,Yoshi Topsy-Turvy,60,23,6.6,5
3099,Monster Jam: Maximum Destruction,47,11,6,6
3100,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,,,,
3101,Tiger Woods PGA Tour 09,82,34,7.2,9
3102,World of Dragon Warrior - Torneko: The Last Hope,,,,
3103,Mortal Kombat,85,51,7.8,192
3104,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",,,,
3105,Tiger Woods PGA Tour 09,84,41,7.8,29
3106,Advance Wars 2: Black Hole Rising,89,34,9.4,97
3107,Wario: Master of Disguise,60,35,7.4,19
3108,Centipede,,,,
3109,The Last Story,80,61,8.4,179
3110,Drakengard,63,55,9.1,88
3111,SingStar Pop Hits,,,,
3112,Kung-Fu Master,,,,
3113,Champions: Return to Arms,77,48,8.8,43
3114,Harry Potter and the Goblet of Fire,68,29,6.7,48
3115,Toy Story 3: The Video Game,,,,
3116,SingStar R&B,,,,
3117,Mary-Kate and Ashley: Magical Mystery Mall,,,,
3118,MX vs. ATV Untamed,59,12,,
3119,Disney Infinity 2.0: Marvel Super Heroes,,,,
3120,Tiger Woods PGA Tour 10,80,51,6.9,20
3121,007: Quantum of Solace,54,11,7.5,26
3122,Super Robot Taisen Impact,,,,
3123,Wall-E,64,8,,
3124,Farming Simulator 17,64,5,8,20
3125,Crafting Mama,,,,
3126,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,,,,
3127,God of War III,,,,
3128,Borderlands 2,64,31,7.6,358
3129,Harry Potter and the Half-Blood Prince,,,8.3,13
3130,Crash Bandicoot Purple: Ripto's Rampage,67,23,6.6,12
3131,Assassin's Creed IV: Black Flag,84,10,7.7,1470
3132,Need For Speed: Undercover,54,12,6.2,29
3133,Spyro: A Hero's Tail,60,16,8,44
3134,Crash: Twinsanity,64,38,8,129
3135,The LEGO Movie Videogame,68,5,7.7,25
3136,Max Payne 2: The Fall of Max Payne,84,34,8.4,49
3137,Metal Gear Solid V: The Phantom Pain,,,7.2,168
3138,Drawn to Life: The Next Chapter,72,21,7.7,22
3139,GoldenEye: Rogue Agent,60,38,7,32
3140,WWE 2K15,50,5,4,65
3141,Paws & Claws: Pet Vet,,,,
3142,Star Ocean: First Departure,74,32,7.4,28
3143,James Bond 007: Everything or Nothing,83,51,7.4,27
3144,X2: Wolverine's Revenge,58,24,7.2,13
3145,NBA Live 06,79,30,6.4,15
3146,Tom Clancy's Rainbow Six,,,,
3147,Castlevania,,,,
3148,Rayman 2: The Great Escape,,,,
3149,Nicktoons Collection: Game Boy Advance Video Volume 1,,,,
3150,Rayman 3D,61,39,6.6,48
3151,Football Manager 2014,85,41,5.5,275
3152,New Play Control! Pikmin,,,,
3153,TimeSplitters 2,88,20,7.7,34
3154,Onimusha: Dawn of Dreams,81,45,8.9,62
3155,Sengoku Basara: Samurai Heroes,61,37,7.9,29
3156,Stuntman: Ignition,75,38,7.3,31
3157,Real Heroes: Firefighter,67,18,8.2,10
3158,Dishonored 2,88,56,7.7,569
3159,Up,,,,
3160,SpongeBob SquarePants: Game Boy Advance Video Volume 1,,,,
3161,Konami Collector's Series: Arcade Advanced,78,10,,
3162,The Crew,64,18,5.9,176
3163,Dragon Ball: Raging Blast 2,57,33,7.4,30
3164,Jampack Volume 13 (RP-T),,,,
3165,Madden NFL 2001,,,,
3166,Cruis'n World,,,,
3167,NHL 13,84,22,6.8,60
3168,Dead or Alive 5,74,34,7.7,109
3169,Evolve,74,31,5.1,336
3170,Lemony Snicket's A Series of Unfortunate Events,63,25,5.7,12
3171,Lost Planet: Extreme Condition,67,34,7,36
3172,X-Men Legends II: Rise of Apocalypse,82,44,7.3,41
3173,Nightmare Creatures,,,,
3174,LittleBigPlanet 3,,,7.2,64
3175,SingStar Queen,73,9,,
3176,LEGO Star Wars II: The Original Trilogy,81,50,8,45
3177,Disney Sing It: Party Hits,,,,
3178,Dragon Quest Monsters Joker 3,,,,
3179,Rock Band 3,91,10,6.9,36
3180,Dragon Age II,82,45,4.5,4533
3181,Tony Hawk's Pro Skater 2x,78,24,8.8,5
3182,NBA Live 08,73,28,6.8,10
3183,Sim Theme Park,,,,
3184,FIFA Soccer 2003,88,11,7.7,11
3185,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,,,,
3186,The Lord of the Rings: Conquest,55,58,7,110
3187,Far Cry 4,80,17,6.7,1064
3188,Monster Hunter 2,,,,
3189,NASCAR 06: Total Team Control,78,18,7.7,18
3190,Dogz,,,,
3191,A Bug's Life,,,,
3192,Super Castlevania IV,,,,
3193,Iron Man,44,7,6.5,16
3194,White Knight Chronicles II,60,45,7.1,64
3195,Mobile Suit Z Gundam: AEUG vs. Titans,,,,
3196,Juiced 2: Hot Import Nights,68,24,7.6,21
3197,Wolfenstein,71,58,7.4,77
3198,The Walking Dead: Survival Instinct,32,30,4,410
3199,The Sims 3: Generations,70,22,3.6,81
3200,Ape Escape 2,82,31,8.4,32
3201,Rocksmith 2014,,,,
3202,X-Man,,,,
3203,Sega Rally Revo,75,40,7,20
3204,Shin Megami Tensei: Persona 3 FES,89,25,8.3,296
3205,FIFA Soccer 2002,82,17,5.8,28
3206,Angry Birds Trilogy,62,7,4.6,20
3207,Final Fantasy VII International,,,,
3208,Condemned 2: Bloodshot,80,76,8.4,178
3209,Okami,93,69,9.3,327
3210,Shin Megami Tensei: Persona 3 Portable,89,40,8.3,317
3211,Crash of the Titans,,,7.1,24
3212,NHL 2001,88,10,7.7,7
3213,Crysis 3,76,47,6.5,1223
3214,Buzz Lightyear of Star Command,54,10,5.3,4
3215,NHL 16,78,28,5.5,157
3216,Namco Museum,62,10,,
3217,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",,,,
3218,Cabela's Big Game Hunter (2008),,,,
3219,Tony Hawk's Project 8,76,43,7.2,14
3220,Ghostbusters: The Video Game,79,53,8.5,125
3221,XCOM: Enemy Unknown,90,35,8.3,366
3222,Nobunaga no Yabou: Haouden,,,,
3223,Virtua Cop,,,,
3224,Metal Gear Solid 2: Substance,87,28,8.5,39
3225,Tony Hawk's American Wasteland,77,40,7.7,15
3226,WWF in Your House,,,,
3227,Wild ARMs 3,78,30,8.4,38
3228,NBA ShootOut '97,,,,
3229,Family Feud: 2010 Edition,,,,
3230,Madden NFL 07,82,14,9.2,5
3231,LEGO Jurassic World,,,7.2,11
3232,Battlezone,,,,
3233,Tiger Woods PGA Tour 2004,89,18,8.2,14
3234,Test Drive Unlimited 2,70,43,6.1,44
3235,Tak 2: The Staff of Dreams,71,31,8,10
3236,Just Dance 3,75,5,6,7
3237,LEGO Pirates of the Caribbean: The Video Game,71,16,7.3,20
3238,Donkey Kong Barrel Blast,46,34,6.8,26
3239,The Princess and the Frog,,,,
3240,Disney Infinity 2.0: Marvel Super Heroes,,,,
3241,Viewtiful Joe,93,52,8.3,115
3242,The Urbz: Sims in the City,72,6,9.2,25
3243,Beetle Adventure Racing!,,,,
3244,Guitar Hero: Metallica,86,44,8,48
3245,Disney's 102 Dalmatians: Puppies to the Rescue,,,,
3246,Strike Force Bowling,48,14,6.8,4
3247,Halloween,,,,
3248,Red Steel 2,80,73,8.6,178
3249,Bass Landing,,,,
3250,XGRA: Extreme G-Racing Association,68,23,8.6,8
3251,Mafia III,67,20,4.6,274
3252,Bolt,,,,
3253,Mario's Picross,,,,
3254,Pac-Man Player's Choice Bundle,,,,
3255,Fighters MEGAMiX,,,,
3256,Bahamut Lagoon,,,,
3257,Prince of Persia: The Forgotten Sands,74,69,7.8,112
3258,Warriors Orochi 3,70,17,7.9,35
3259,Tomb Raider III: Adventures of Lara Croft,,,8.2,29
3260,DJ Hero 2,88,20,7.5,17
3261,Toshochu: Run for Money,,,,
3262,Dragon Quest Monsters: Joker 2 Professional,,,,
3263,NFL Quarterback Club 99,,,,
3264,Super Robot Taisen α Gaiden,,,,
3265,Tiger Woods PGA Tour 12: The Masters,80,50,6.1,25
3266,Battle of Giants: Dragons,,,6,4
3267,Wall-E,50,32,6.3,6
3268,Start the Party!,,,,
3269,Formula 1: Championship Edition,,,,
3270,Harry Potter and the Half-Blood Prince,48,9,4.3,7
3271,NieR,68,58,8.4,263
3272,2014 FIFA World Cup Brazil,73,33,4.3,87
3273,Phoenix Wright: Ace Attorney - Trials and Tribulations,,,,
3274,NBA 2K9,82,30,7,37
3275,SpongeBob's Atlantis SquarePantis,,,5.5,6
3276,SingStar Singalong With Disney,,,,
3277,NFL Fever 2003,72,25,8.6,12
3278,Samurai Warriors 2,58,26,8.8,13
3279,Wet,70,61,6.4,55
3280,Cooking Mama 4: Kitchen Magic!,56,6,6,7
3281,Scribblenauts: Unlimited,73,13,7.4,21
3282,The Black Eyed Peas Experience,,,,
3283,2 Games in 1: Sonic Battle & ChuChu Rocket!,,,,
3284,Fire Emblem: Shadow Dragon,81,42,7,106
3285,Plants vs. Zombies: Garden Warfare,75,23,7.6,259
3286,Metroid Prime: Trilogy,91,48,9.3,316
3287,Robotech: Battlecry,72,20,8.5,8
3288,Dora the Explorer: Super Spies,,,8,5
3289,Disney Universe,70,29,6.9,13
3290,Advance Wars: Days of Ruin,86,55,8.7,96
3291,Jak and Daxter: The Lost Frontier,71,47,6.3,28
3292,Texas Hold 'Em Poker,49,7,6.8,6
3293,Time Crisis 3,81,29,8.1,12
3294,WWE SmackDown vs. Raw 2010,,,6.6,8
3295,Vanquish,84,61,8.1,304
3296,Ganbaru Watashi no Kakei Diary,,,,
3297,Tearaway,87,82,8.9,391
3298,Small Soldiers,,,,
3299,Half-Life 2,90,35,8.6,115
3300,Duke Nukem: Total Meltdown,,,,
3301,Tony Hawk: RIDE,46,43,3,67
3302,Borderlands: The Pre-Sequel,77,24,6.3,130
3303,Major League Baseball 2K8,70,28,5.9,34
3304,Sacred 2: Fallen Angel,70,45,7.1,51
3305,pro evolution soccer 2011,79,43,5.9,33
3306,Major League Baseball 2K9,64,29,5.3,26
3307,Final Fantasy IV Advance,85,30,7.3,70
3308,Dragon Ball Z: Ultimate Tenkaichi,58,26,5.4,77
3309,Madden NFL 2003,76,5,,
3310,Tomb Raider (2013),,,,
3311,Petz: Dogz Pack,,,,
3312,Harry Potter and the Goblet of Fire,71,9,6,8
3313,Tomb Raider Chronicles,,,,
3314,Dragon Ball Z: Buu's Fury,62,19,8.9,39
3315,Madden NFL 2002,89,12,,
3316,Spider-Man: Mysterio's Menace,84,8,8.7,11
3317,Madden NFL 2000,,,,
3318,Game & Watch Gallery 4,,,,
3319,MySims Racing,67,11,7.3,4
3320,Naruto: Ultimate Ninja,75,34,7.7,35
3321,Pac-Man Party,59,14,5.9,8
3322,Cabela's Monster Buck Hunter,,,,
3323,Tony Hawk's Underground,86,9,7.7,9
3324,Dark Souls II,,,,
3325,Monster Trucks,,,,
3326,World of Zoo,,,8.2,6
3327,Shadow The Hedgehog,45,28,6,137
3328,Wave Race: Blue Storm,80,21,8.3,29
3329,Aliens: Colonial Marines,43,25,3.6,295
3330,Backyard Wrestling: Don't Try This at Home,51,24,7.8,29
3331,Yakuza: Dead Souls,64,55,7.4,69
3332,Fight Night Round 2,88,48,8.8,27
3333,MonHun Nikki: Poka Poka Ailu Mura,,,,
3334,Dead Island: Riptide,62,25,5.9,140
3335,Just Dance 2015,,,8.3,6
3336,Kinect Sports Rivals,60,53,5.1,144
3337,NBA 2K8,72,7,6,9
3338,Dynasty Warriors 8,68,26,8.5,75
3339,Suikoden,,,,
3340,Disney Infinity,71,10,7.6,58
3341,Secret Agent Clank,61,9,6.7,14
3342,Call of Juarez: Bound in Blood,77,77,7.6,94
3343,Fighters Uncaged,32,38,4.6,23
3344,Rayman Arena,63,10,8.6,8
3345,Jaws Unleashed,52,29,7.5,39
3346,Puyo Puyo Sun,,,,
3347,Half-Life,87,24,8.6,94
3348,International Superstar Soccer 64,,,,
3349,Mickey's Speedway USA,,,,
3350,NASCAR Heat 2002,81,14,,
3351,Split/Second,82,78,8.1,101
3352,The Golden Compass,43,7,4.9,8
3353,The Golden Compass,35,12,6.8,6
3354,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",,,,
3355,From TV Animation One Piece: Grand Battle 2,,,,
3356,BeatMania Append 3rdMix,,,,
3357,Muramasa: The Demon Blade,81,58,8.7,101
3358,Disney TH!NK Fast: The Ultimate Trivia Showdown,,,,
3359, Frozen: Olaf's Quest,,,,
3360,Xena: Warrior Princess,,,,
3361,Littlest Pet Shop: Garden,,,,
3362,Okami,90,44,8.9,236
3363,New Play Control! Pikmin 2,,,,
3364,LEGO The Hobbit,72,47,6.6,88
3365,Front Mission,,,,
3366,WWE 2K17,69,50,6.9,88
3367,Just Dance 2014,72,13,7.6,45
3368,New Play Control! Donkey Kong Jungle Beat,,,,
3369,Wipeout: The Game,,,,
3370,Avatar: The Game,,,,
3371,NHL 15,60,28,3.6,306
3372,Total War: Shogun 2,90,62,8.3,1180
3373,Major League Baseball 2K7,71,5,,
3374,Dai-2-Ji Super Robot Taisen α,,,,
3375,PGR3 - Project Gotham Racing 3,,,,
3376,Dragon Age: Inquisition,,,5.2,242
3377,SimCity DS,69,27,6.3,18
3378,New Carnival Games,,,,
3379,Hot Wheels: Stunt Track Challenge,62,8,8.1,8
3380,Littlest Pet Shop: Jungle,,,,
3381,Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,,,,
3382,FIFA 15,,,3.1,42
3383,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,,,,
3384,Monopoly,56,9,5.8,17
3385,Tony Hawk: RIDE,44,29,2.1,31
3386,CyberTiger,,,,
3387,Jampack Fall 2001,,,,
3388,Medal of Honor: Frontline,80,16,7.9,16
3389,Dead Space,86,28,8,1093
3390,NFL Blitz 2001,70,6,,
3391,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,,,,
3392,Rock Band 2,,,8,4
3393,NHL 11,88,38,7.1,54
3394,Yakuza 5,83,34,8.5,180
3395,BurgerTime,,,,
3396,2002 FIFA World Cup,73,19,5.6,18
3397,MVP Baseball 2004,90,31,8.5,19
3398,Crash Bandicoot: The Wrath of Cortex,62,11,7.3,22
3399,Smurf: Rescue In Gargamel's Castle,,,,
3400,Beijing 2008,,,,
3401,Pokemon Trozei!,,,,
3402,WWE 2K16,72,18,5.7,75
3403,Extreme-G,,,,
