ID,Name,Critic_Score,Critic_Count,User_Score,User_Count
143,Gears of War,94,88,8.3,2295
144,FIFA 15,82,47,5.7,988
145,Metal Gear Solid 2: Sons of Liberty,96,42,8.7,1026
146,Sonic the Hedgehog 2,,,,
147,Metal Gear Solid,94,20,9.4,918
148,Metal Gear Solid 4: Guns of the Patriots,94,82,8.7,3558
149,Final Fantasy XII,92,64,7.6,972
150,The Last of Us,95,98,9.1,8003
151,LittleBigPlanet,95,85,6.8,5311
152,Resident Evil 2,89,13,9.2,364
153,Dragon Quest IX: Sentinels of the Starry Skies,87,65,8.8,197
154,Tekken 2,89,8,8.9,102
155,Destiny,76,95,6.1,5380
156,LEGO Star Wars: The Complete Saga,80,17,8.9,62
157,Cooking Mama,67,35,7.2,21
158,Tetris,,,,
159,Super Smash Bros.,,,,
160,Assassin's Creed II,91,70,8.6,1202
161,Assassin's Creed,81,77,7.7,1074
162,Forza Motorsport 3,92,90,8,516
163,Super Mario Advance,84,19,7.8,41
164,Monster Hunter Freedom Unite,81,48,8.7,124
165,Batman: Arkham City,96,42,8.6,2162
166,Grand Theft Auto V,97,14,7.9,764
167,Mario Kart: Super Circuit,93,24,8.3,108
168,Super Mario World,,,,
169,Pokemon Stadium,,,,
170,Crash Bandicoot: The Wrath of Cortex,66,22,7.1,156
171,Call of Duty: World at War,85,45,7.6,409
172,Uncharted 4: A Thief's End,93,113,7.9,7064
173,Dr. Mario,,,,
174,Final Fantasy XIII,83,83,7.3,2483
175,Pokemon Pinball,,,,
176,Final Fantasy IX,94,22,8.9,779
177,Assassin's Creed III,84,61,6.7,1196
178,Final Fantasy X-2,85,45,6.6,400
179,Donkey Kong 64,,,,
180,Call of Duty: Advanced Warfare,81,53,5.4,898
181,Minecraft,,,,
182,Assassin's Creed II,90,82,8.8,1305
183,Tomb Raider II,85,13,,
184,Madden NFL 2004,94,29,8.5,140
185,Tomodachi Life,,,,
186,New Super Mario Bros. U,84,70,8.1,733
187,Dragon Quest VIII: Journey of the Cursed King,89,63,8.8,245
188,Super Mario Bros. 3,,,,
189,Professor Layton and the Curious Village,85,72,8.6,147
190,Super Mario Land 3: Wario Land,,,,
191,FIFA Soccer 13,90,48,6.1,403
192,Donkey Kong Country 2: Diddy's Kong Quest,,,,
193,Diablo III,88,86,4,9629
194,Medal of Honor: Rising Sun,68,30,7.6,100
195,Kirby's Dream Land,,,,
196,Microsoft Flight Simulator,,,,
197,Guitar Hero II,92,69,8.5,112
198,Fable III,80,88,6.5,604
199,Mario & Sonic at the Olympic Games,,,,
200,Resident Evil 5,84,76,7.5,667
201,The Legend of Zelda: Phantom Hourglass,90,57,8,416
202,Super Mario Bros.,,,,
203,FIFA Soccer 11,89,51,8,233
204,Resident Evil,91,8,9,266
205,Grand Theft Auto: Vice City Stories,86,50,8,150
206,Tony Hawk's Pro Skater,92,18,9.2,69
207,Warzone 2100,,,,
208,Spyro the Dragon,,,,
209,Guitar Hero III: Legends of Rock,82,24,8.2,46
210,Link's Crossbow Training,68,34,7.1,47
211,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,,,,
212,Fallout 3,93,84,8.5,1655
213,Uncharted: Drake's Fortune,88,66,8.1,2306
214,Madden NFL 06,88,29,8,121
215,Diddy Kong Racing,,,,
216,Monster Hunter Freedom 3,,,,
217,Super Smash Bros. for Wii U and 3DS,,,,
218,Dr. Mario,,,,
219,StarCraft II: Wings of Liberty,93,82,8.2,3052
220,Assassin's Creed,81,40,7.3,769
221,God of War III,92,101,8.7,2633
222,Crash Team Racing,88,20,9,233
223,LEGO Star Wars: The Complete Saga,80,9,5.4,46
224,Driver 2,62,14,7.7,92
225,Batman: Arkham City,94,87,8.7,1472
226,The Last of Us,,,,
227,The Simpsons: Hit & Run,,,,
228,Tony Hawk's Pro Skater 2,98,19,7.7,299
229,The Lord of the Rings: The Two Towers,82,32,8.2,78
230,Tomb Raider,91,13,8.6,147
231,Animal Crossing: City Folk,73,50,7.6,119
232,Uncharted: The Nathan Drake Collection,86,78,8.1,1264
233,The Legend of Zelda: A Link to the Past,,,,
234,The Legend of Zelda: The Wind Waker,96,80,8.9,968
235,Guitar Hero III: Legends of Rock,86,36,8.4,87
236,Luigi's Mansion: Dark Moon,86,74,8.4,458
237,Forza Motorsport 4,91,83,8.2,617
238,Mario & Sonic at the Olympic Winter Games,,,,
239,Madden NFL 2005,91,30,7.9,78
240,Guitar Hero III: Legends of Rock,85,69,7.9,165
241,Pitfall!,,,,
242,Madden NFL 07,84,29,8.2,39
243,Halo 5: Guardians,84,101,6.4,2438
244,Spider-Man: The Movie,76,25,7.9,41
245,Dragon Quest VII: Warriors of Eden,,,,
246,Call of Duty: Infinite Warfare,77,82,3.4,1129
247,God of War,94,75,8.9,997
248,Splatoon,81,88,8.5,1184
249,Nintendo Land,77,61,7.9,471
250,Tony Hawk's Pro Skater 3,97,34,7.5,298
251,Winning Eleven: Pro Evolution Soccer 2007,86,19,8.9,33
252,The Elder Scrolls IV: Oblivion,94,90,8.7,1109
253,Zelda II: The Adventure of Link,,,,
254,Need for Speed: Most Wanted,82,36,9.1,137
255,Michael Jackson: The Experience,56,37,8.3,31
256,Call of Duty: Advanced Warfare,,,4.8,207
257,Resistance: Fall of Man,86,70,8.1,715
258,Sonic the Hedgehog,,,,
259,Kingdom Hearts II,87,64,9,766
260,The Legend of Zelda: Ocarina of Time,,,,
261,Super Mario 3D World,93,83,9,1607
262,Minecraft,,,,
263,Asteroids,,,,
264,Call of Duty: Advanced Warfare,,,4.9,221
265,FIFA 15,,,4.5,109
266,Fable II,89,95,6.5,2423
267,Namco Museum,79,10,7.3,6
268,Batman: Arkham Asylum,91,70,8.9,1122
269,Metal Gear Solid 3: Snake Eater,91,68,9.3,955
270,Assassin's Creed: Revelations,80,39,7.5,613
271,Fallout 4,88,39,6.2,1749
272,FIFA 14,84,41,4.2,435
273,Daxter,85,59,8.7,109
274,Warcraft II: Tides of Darkness,,,,
275,FIFA Soccer 06,80,32,7.8,47
276,EyeToy Play,80,32,7.5,22
277,Gran Turismo 5 Prologue,80,67,7.1,120
278,Assassin's Creed: Revelations,80,77,7.2,564
279,FIFA 12,,,,
280,Teenage Mutant Ninja Turtles,,,,
281,Street Fighter IV,94,61,7.3,330
282,Excitebike,,,,
283,Frogger,,,,
284,Madden NFL 2003,95,25,7.7,65
285,Half-Life,96,24,9.1,3161
286,Super Mario World 2: Yoshi's Island,,,,
287,FIFA Soccer 07,,,,
288,Street Fighter II Turbo,,,,
289,World of Warcraft: The Burning Crusade,91,46,7.9,785
290,Battlefield 1,88,31,8.4,809
291,God of War II,93,70,8.9,709
292,World Soccer Winning Eleven 9,,,8.2,23
293,Fallout: New Vegas,84,81,8.1,769
294,Forza Motorsport 2,90,66,8.3,381
295,Carnival Games,56,27,6,44
296,Watch Dogs,80,80,6.3,2996
297,Namco Museum Vol.3,,,,
298,Tekken Tag Tournament,85,25,8.5,117
299,Far Cry 4,85,83,7.7,1653
300,Star Fox 64,,,,
301,Golf,,,,
302,Namco Museum: 50th Anniversary,61,21,,
303,Left 4 Dead 2,89,76,8.6,681
304,The Witcher 3: Wild Hunt,92,79,9.2,10179
305,Assassin's Creed: Unity,70,40,4.9,2050
306,Batman: Arkham Knight,87,89,7.6,2679
307,The Legend of Zelda: Skyward Sword,93,81,8,1958
308,Fallout 3,90,57,8,910
309,Professor Layton and the Diabolical Box,84,65,8.8,72
310,Donkey Kong Land,,,,
311,EA Sports Active,81,27,8.7,39
312,Tony Hawk's Underground,90,38,8.7,121
313,Monster Hunter 4 Ultimate,86,80,8.7,348
314,The Elder Scrolls V: Skyrim,94,32,8.1,9073
315,NBA 2K16,87,51,6.7,364
316,Tekken 5,88,62,8.6,229
317,Dragon Warrior III,,,,
318,MotorStorm,84,9,7.4,220
319,Nintendogs + cats,,,,
320,World Soccer Winning Eleven 8 International,91,26,9.1,38
321,Sports Champions,76,64,7.9,104
322,Namco Museum Vol.1,,,,
323,The Legend of Zelda: Link's Awakening,,,,
324,Call of Duty: Ghosts,78,49,3.7,1564
325,Flash Focus: Vision Training in Minutes a Day,59,22,4,4
326,Tom Clancy's The Division,80,64,7,2219
327,Big Brain Academy: Wii Degree,68,33,6.9,39
328,Resident Evil Director's Cut,,,,
